Yıl,test,clean_test,binary,budget,domgross,intgross,code,budget_2013$,domgross_2013$,intgross_2013$,period code,decade code
2005,ok,ok,FAIL,101423449,114776509.0,229323219.0,1998PASS,125672306,204320452.0,337755651.0,4.0,3.0
2003,notalk-disagree,ok,FAIL,39220952,46784597.0,99958292.0,1995PASS,75134008,61814006.0,188625620.0,3.0,3.0
2004,ok,men,FAIL,2535393,7763563.0,19429543.0,1997FAIL,4865853,12157689.0,41623493.0,4.0,2.0
2011,dubious,dubious,FAIL,17564458,118667363.0,237753952.0,2006FAIL,23733814,161287474.0,347011843.0,2.0,2.0
2009,notalk-disagree,notalk,FAIL,22901426,92486231.0,,2005FAIL,37899875,110580962.0,277161255.0,1.0,2.0
2009,ok,ok,PASS,39310578,87358000.0,166212466.0,2001PASS,73689082,165336365.0,359762210.0,3.0,3.0
1993,nowomen,men,PASS,74439688,71420362.0,145689438.0,1998PASS,110935256,105293483.0,222526895.0,4.0,2.0
2009,ok,men,FAIL,1962245,23340557.0,45557573.0,2002PASS,2024722,,61582231.0,2.0,2.0
2002,dubious,notalk,FAIL,19860534,20835685.0,88364749.0,1994PASS,34966744,48418384.0,148278994.0,5.0,
1989,nowomen,nowomen,FAIL,3848648,2070475.0,87131.0,1980FAIL,14740713,13206108.0,379028.0,,
2011,notalk,notalk,PASS,51252528,148724275.0,429937841.0,2008PASS,76855303,211423777.0,678858078.0,2.0,2.0
2009,notalk-disagree,ok,FAIL,63486955,142549200.0,340215841.0,2009PASS,65071577,131120695.0,303281131.0,3.0,2.0
2008,notalk,notalk,PASS,34343891,1606664.0,13680865.0,2006PASS,39727118,3835837.0,15948936.0,1.0,1.0
2012,nowomen,dubious,PASS,12489532,18006084.0,27766740.0,2005PASS,23199073,16832692.0,43528854.0,3.0,3.0
2006,notalk,ok,FAIL,96150289,160236523.0,364600006.0,2005FAIL,116069280,130339161.0,386317684.0,3.0,2.0
1991,men-disagree,men,PASS,57944743,102078720.0,269600711.0,2001FAIL,67405685,98119565.0,342654982.0,2.0,2.0
2009,notalk,notalk,FAIL,1733760,11108292.0,27118451.0,2009FAIL,1794142,8805487.0,26390825.0,1.0,2.0
2013,men,ok,FAIL,69250915,113340785.0,267264234.0,2013PASS,77035246,113644589.0,275639163.0,1.0,2.0
2013,ok,ok,PASS,6490334,4396810.0,8216351.0,2013FAIL,2678439,3704139.0,3175209.0,1.0,1.0
2007,notalk,notalk,FAIL,142694423,314908211.0,626920615.0,2004FAIL,194981972,443354444.0,816424990.0,2.0,2.0
2012,ok,ok,PASS,89193612,41372626.0,188035233.0,2013PASS,82869313,12683049.0,138387056.0,1.0,1.0
2013,notalk-disagree,notalk,FAIL,65038823,62188835.0,265193360.0,2013PASS,57533435,34123676.0,229716575.0,1.0,1.0
2012,ok,nowomen,PASS,40578023,7199915.0,17165936.0,2011FAIL,41250891,3759777.0,8745617.0,1.0,1.0
2010,dubious-disagree,ok,PASS,62808609,86598638.0,217893529.0,2010PASS,67101688,82469228.0,237632446.0,1.0,1.0
2007,ok,ok,FAIL,22825360,31913965.0,54543904.0,2008PASS,34735869,44419794.0,67094894.0,1.0,1.0
