State,Avg Daily Distance (km),Brand,Model,Price (INR),Year of Manufacture,Engine Capacity (cc),Fuel Type,Mileage (km/l),Owner Type,Registration Year,Insurance Status,Seller Type,Resale Price (INR),City Tier
New Hampshire,43.88,Honda,Vulcan S,147463,2018,608,Electric,42.62,Second,2020,Not Available,Individual,170636.65,North Matthewside
Ohio,26.49,TVS,RC 390,201043,2018,936,Electric,51.88,Second,2024,Active,Dealer,186756.6,Mariachester
South Dakota,45.78,TVS,Ninja 300,264114,2017,264,Petrol,63.1,Second,2024,Active,Individual,59876.89,New Debrabury
West Virginia,41.04,Kawasaki,390 Adventure,355205,2015,865,Hybrid,76.58,Third,2021,Expired,Dealer,103210.15,Jacobville
Missouri,43.82,TVS,Jupiter,230580,2017,741,Electric,75.88,Second,2016,Active,Individual,93800.07,Martinville
Kentucky,75.3,Bajaj,Shine,222562,2018,602,Petrol,85.52,First,2024,Active,Individual,53758.02,Wilsonberg
Oklahoma,64.55,Kawasaki,Pulsar 150,203791,2022,352,Electric,95.29,First,2017,Expired,Individual,118195.16,North Caleb
Vermont,41.89,TVS,Fascino 125,88407,2018,702,Hybrid,48.65,First,2023,Not Available,Individual,85405.8,North Debbie
Colorado,11.17,Hero,Pulsar 150,245450,2017,737,Hybrid,89.54,First,2021,Not Available,Dealer,67495.18,Amyville
Iowa,27.09,Honda,Dominar 400,50613,2015,902,Electric,56.72,Third,2021,Not Available,Dealer,72830.56,East Russell
Georgia,54.75,Bajaj,250 Duke,209335,2018,798,Electric,81.76,Second,2022,Expired,Dealer,197463.14,Lorifort
Louisiana,40.77,Kawasaki,Duke 200,268848,2023,132,Electric,98.36,Second,2017,Active,Individual,174953.42,Angelamouth
Arkansas,36.94,Royal Enfield,Hunter 350,270929,2015,125,Petrol,76.06,Third,2021,Expired,Dealer,79048.15,Port Mary
Nevada,54.35,Royal Enfield,Apache RTR 160,304957,2018,329,Hybrid,48.9,First,2021,Active,Individual,171417.38,East Brittanyfort
Arkansas,65.99,Hero,Z650,266858,2018,493,Electric,48.74,First,2023,Expired,Dealer,98444.69,South Christopherside
Minnesota,38.49,Honda,Glamour,197858,2018,801,Petrol,40.99,First,2017,Active,Dealer,179251.77,Rodriguezberg
Rhode Island,45.62,Kawasaki,Himalayan,393164,2019,276,Electric,51.81,First,2019,Expired,Individual,62195.29,West Lisa
Montana,28.98,TVS,Versys 650,376482,2023,558,Petrol,94.76,First,2023,Not Available,Individual,148164.75,Mooremouth
Delaware,44.19,Hero,Himalayan,267576,2018,231,Petrol,47.41,First,2023,Active,Dealer,111344.58,Lake Staceyport
Arkansas,52.96,Bajaj,Avenger 220,240161,2015,518,Electric,57.18,Second,2015,Not Available,Individual,251957.92,South Jenny
Michigan,65.9,Honda,125 Duke,341244,2021,814,Electric,78.89,First,2020,Expired,Dealer,38521.61,Port Todd
West Virginia,78.33,Kawasaki,390 Adventure,244184,2022,157,Hybrid,67.19,Second,2016,Expired,Individual,102571.45,Melissaberg
