State,Avg Daily Distance (km),Brand,Model,Price (INR),Year of Manufacture,Engine Capacity (cc),Fuel Type,Mileage (km/l),Owner Type,Registration Year,Insurance Status,Seller Type,Resale Price (INR),City Tier
New Hampshire,59.32,Yamaha,Activa,91196,2022,785,Hybrid,30.8,First,2022,Not Available,Dealer,73158.9,North Matthewside
Ohio,53.82,TVS,125 Duke,190989,2022,412,Petrol,79.2,Third,2022,Active,Dealer,105927.68,Mariachester
South Dakota,23.35,Yamaha,125 Duke,326017,2017,493,Petrol,59.15,Third,2015,Not Available,Individual,228976.23,New Debrabury
West Virginia,11.92,TVS,Unicorn,156352,2016,757,Hybrid,75.4,First,2016,Not Available,Individual,99301.11,Jacobville
Missouri,15.34,TVS,HF Deluxe,197608,2015,505,Petrol,91.83,Second,2023,Active,Dealer,73132.47,Martinville
Kentucky,53.68,Honda,HF Deluxe,129155,2017,870,Petrol,78.75,First,2023,Not Available,Dealer,89017.58,Wilsonberg
Oklahoma,41.43,Royal Enfield,Interceptor 650,164737,2024,199,Petrol,56.13,First,2020,Not Available,Dealer,86458.54,North Caleb
Vermont,25.49,TVS,Ninja 300,310417,2023,868,Electric,41.6,Second,2018,Active,Individual,193773.89,North Debbie
Colorado,11.7,KTM,Vulcan S,270556,2016,701,Petrol,35.11,Third,2019,Expired,Dealer,127163.79,Amyville
Iowa,71.82,Bajaj,Classic 350,396587,2022,980,Petrol,38.95,First,2022,Active,Dealer,215841.78,East Russell
