Gender,Age,Department,Attendance (%),Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
Male,23,CS,75.97,67.37,92.05,92.0,95.70065668276247,73.65,79.05828784449096,C,11.8,No,Yes,Bachelor's,Low,2,5.9
Male,23,Mathematics,65.8,94.15,58.18,60.52,39.49553406615627,90.32,75.30496135837593,B,28.9,Yes,Yes,High School,Medium,3,5.5
Female,20,Business,73.91,80.98,70.13,60.8,86.67706426897102,53.46,67.96791740146787,D,24.5,Yes,Yes,High School,High,9,6.1
Female,18,Mathematics,79.03,51.39,76.54,50.3,37.806358147800765,64.8,62.639699829150196,C,17.5,No,No,PhD,Low,10,5.4
Male,21,Mathematics,64.78,51.8,73.06,69.1,17.594123810582566,65.9,65.31060409414688,B,26.8,Yes,Yes,,High,9,8.8
Male,21,Business,69.67,69.95,63.94,89.48,50.867952645605456,65.97,69.87082886872308,D,5.6,No,No,PhD,Medium,10,7.7
Male,23,CS,66.52,85.46,99.39,58.76,1.1833479310255663,79.47,65.71230849490752,C,18.0,Yes,No,PhD,Medium,3,8.9
Male,21,CS,50.39,72.52,67.81,55.53,82.51438951824865,82.55,75.37424339782837,D,7.7,Yes,Yes,,High,9,5.6
Male,20,CS,98.41,70.34,83.71,87.31,34.32322826859933,75.77,76.88602725492918,B,5.1,Yes,Yes,High School,Medium,7,5.5
Female,20,Mathematics,53.54,61.26,60.45,63.24,15.554445269324404,66.95,62.08488700418937,C,6.9,No,Yes,Bachelor's,Low,6,6.0
Female,20,Mathematics,73.53,94.94,91.98,74.26,26.62634458361269,98.7,90.51986427151786,C,13.4,Yes,Yes,Master's,Medium,9,6.0
Female,20,Mathematics,86.02,77.49,54.29,57.32,34.12067135860574,53.92,56.01311223398768,D,5.6,No,Yes,Master's,High,10,4.8
Male,24,Business,90.64,93.99,73.61,54.11,51.19171269971168,87.43,75.9357757969571,D,18.4,Yes,No,High School,Medium,7,8.8
Female,21,CS,90.5,80.64,59.04,82.3,51.768241602606636,50.47,61.86294684698733,C,28.2,Yes,Yes,PhD,Low,9,5.4
Female,21,CS,80.91,70.31,80.36,60.34,76.7436336960672,92.45,81.36612572097462,D,26.7,No,Yes,Bachelor's,High,5,5.5
Female,23,Mathematics,52.48,50.34,56.14,69.53,46.6995026679993,61.86,65.00602739204611,D,14.2,Yes,No,,High,3,7.7
Female,23,Engineering,74.28,94.06,98.11,80.48,53.40999152214409,70.69,75.93407156006855,D,7.6,No,Yes,Master's,High,7,6.0
Female,21,Mathematics,74.39,84.18,68.5,78.23,6.767225781214737,69.91,74.3614836712308,B,10.7,No,No,,High,6,5.9
Female,20,Mathematics,88.19,50.89,51.56,69.91,64.57828203999976,66.08,62.8508024013496,F,16.5,Yes,Yes,,Medium,3,4.1
Male,22,Business,85.98,80.87,94.87,52.77,27.896703534134872,55.45,68.37359209107336,C,7.1,No,No,,High,8,5.7
Female,20,Business,69.2,56.6,64.29,70.12,50.569863956581855,51.0,65.94021051153592,C,12.2,Yes,No,Master's,Low,8,7.6
Male,22,Business,64.07,84.4,63.26,72.82,62.26911641589397,80.72,77.94141870851502,C,26.3,Yes,Yes,High School,High,9,7.6
Male,24,Mathematics,58.74,46.58,86.25,85.16,76.86803493566694,99.94,80.96125345266714,C,11.0,Yes,No,Bachelor's,Low,10,4.3
Male,22,Engineering,69.24,72.55,70.42,78.36,74.837039486754,55.84,70.26099731111125,C,23.6,Yes,No,Master's,Low,1,5.4
Male,23,Mathematics,53.82,99.89,99.26,92.34,93.06096892662356,68.0,91.31314085685021,D,7.5,No,Yes,,Medium,3,8.5
Female,24,Mathematics,57.16,82.79,50.12,51.46,53.3636911598444,99.22,74.49488131438206,B,8.3,No,No,Bachelor's,Medium,10,9.0
Male,21,Engineering,59.92,56.96,69.33,85.12,59.15407040134321,55.84,63.515471969310326,C,11.6,No,Yes,PhD,Low,2,5.7
Female,22,Business,51.63,95.53,72.67,87.85,56.19423190562496,71.3,79.96099971211514,D,29.1,No,Yes,High School,High,6,8.2
Female,20,Business,89.72,40.55,71.6,53.75,65.11486311996468,75.73,57.087935295655576,D,9.8,No,No,Bachelor's,High,4,6.2
Female,22,Engineering,63.02,52.39,81.72,94.12,47.985070361778554,53.38,62.595831357225165,D,26.3,No,No,Master's,Medium,1,6.6
Male,21,Engineering,60.46,75.42,67.86,93.76,74.31829985020426,94.19,81.44887696046018,C,20.5,Yes,Yes,PhD,High,2,8.8
Female,20,Engineering,56.71,47.95,54.84,81.98,42.26670312363799,86.53,70.49794298719405,D,7.8,Yes,No,High School,High,10,5.4
Male,18,Mathematics,74.08,90.98,67.92,75.0,1.8489781123860396,63.59,66.35578445389999,F,11.6,Yes,No,High School,Medium,7,7.1
Male,20,Business,50.3,62.29,69.5,84.11,67.8051211780645,90.97,75.54869437826201,D,11.2,Yes,Yes,PhD,High,6,6.5
Male,18,Business,99.89,89.55,94.19,64.68,21.656075158662286,59.38,69.79076859500562,D,11.4,No,Yes,,Medium,9,5.6
Female,21,Engineering,77.48,79.31,65.69,77.94,56.25735153448385,96.77,76.1669897494892,C,7.2,Yes,Yes,,Medium,4,4.0
Male,23,Business,68.05,97.6,74.49,63.78,18.96258595683483,57.75,68.9658026406962,C,19.7,No,No,High School,Medium,6,6.5
Male,20,Business,75.55,97.84,84.92,85.98,24.374233720450167,78.48,80.4151433838025,C,18.8,No,Yes,,Low,2,5.0
Female,23,CS,99.57,49.73,59.52,90.43,80.9458921130159,87.35,73.76781586359074,D,5.9,No,No,Bachelor's,Low,3,8.6
Female,24,Business,95.45,74.46,99.24,60.21,74.06841923494768,50.66,70.0951135669519,D,21.1,No,Yes,High School,Low,10,6.3
Male,21,Mathematics,72.42,64.37,94.69,52.21,67.32827563288723,68.95,70.89800371302773,C,27.7,No,Yes,High School,Medium,8,4.1
Male,19,Business,79.89,91.36,95.68,60.03,31.844289419169268,97.07,84.8380541178324,C,20.7,Yes,No,PhD,Medium,1,8.7
Female,20,Business,93.73,94.44,87.76,68.4,11.841544671832906,94.7,82.53846961537707,C,19.0,Yes,Yes,PhD,Low,4,4.6
Male,20,Mathematics,90.28,74.73,77.98,60.27,84.46842275412669,89.92,77.71668112951643,C,15.8,No,No,High School,High,9,5.5
Male,21,Business,91.2,92.61,92.75,79.95,52.354853721795116,54.25,76.60503319352628,C,14.4,Yes,Yes,PhD,Medium,4,7.2
Female,24,Engineering,97.26,80.2,56.79,93.5,89.36993001651499,94.43,84.24917716474208,C,24.3,No,Yes,Master's,Low,5,8.9
Female,24,Engineering,87.08,53.57,62.11,87.68,33.02640986957737,61.03,64.01807675447722,C,23.0,No,Yes,PhD,Low,7,6.4
Female,18,Mathematics,79.06,95.13,61.71,58.15,65.78167192260501,80.6,77.80077169388767,D,29.6,No,No,PhD,High,7,4.5
Female,23,Mathematics,51.56,64.07,56.6,95.67,36.39207856438066,64.98,68.44963443583309,D,26.2,Yes,Yes,Bachelor's,Medium,9,6.8
Male,18,Engineering,87.47,98.01,99.22,80.45,72.13409692146894,64.77,85.86256835215241,C,5.7,No,Yes,,Medium,2,7.6
